complex	Nrf2/Keap1 (complex)
protein	gamma-glutyamylcysteine synthase
protein	bZip
protein	CRYZ
protein	NFE2L2
complex	Nrf2/bZip (complex)
protein	POR
protein	GSTA2
protein	KEAP1
complex	KEAP1/NFE2L2/PGAM5 (complex)
protein	PGAM5
protein	Heme oxygenase
protein	UGT1A6
complex	Nrf2/Small Mafs (complex)
protein	AKR7A2
protein	Small Mafs
bZip	Nrf2/bZip (complex)	component>
NFE2L2	Nrf2/Keap1 (complex)	component>
NFE2L2	Nrf2/bZip (complex)	component>
NFE2L2	Nrf2/Small Mafs (complex)	component>
NFE2L2	KEAP1/NFE2L2/PGAM5 (complex)	component>
Nrf2/bZip (complex)	gamma-glutyamylcysteine synthase	-t>
Nrf2/bZip (complex)	CRYZ	-t>
Nrf2/bZip (complex)	POR	-t>
Nrf2/bZip (complex)	GSTA2	-t>
Nrf2/bZip (complex)	Heme oxygenase	-t>
Nrf2/bZip (complex)	UGT1A6	-t>
Nrf2/bZip (complex)	AKR7A2	-t>
KEAP1	Nrf2/Keap1 (complex)	component>
KEAP1	KEAP1/NFE2L2/PGAM5 (complex)	component>
PGAM5	KEAP1/NFE2L2/PGAM5 (complex)	component>
Small Mafs	Nrf2/Small Mafs (complex)	component>
